,Tweets,len,ID,Date,Source,Likes,RTs,SA
0,"Thank you, Prime Minister @PresRajapaksa! It was a pleasure to speak to you. Once again, many congratulations. We will work together to further advance all areas of bilateral cooperation and to take our special ties to ever newer heights. https://t.co/123ahoxlMo",262,1291395378563231745,2020-08-06 15:27:05,Twitter for iPhone,32190,3378,1
1,"At 11 AM on Friday, 7th August, I would be addressing the ‘Conclave on Transformational Reforms in Higher Education under National Education Policy.’  

This conclave will emphasise on how the changes in India’s education sector will benefit youngsters. https://t.co/JkYXosI7WF",277,1291363838235828225,2020-08-06 13:21:46,Twitter Web App,46884,6716,1
2,"Remembering Sushma Ji on her first Punya Tithi. Her untimely and unfortunate demise left many saddened. She served India selflessly and was an articulate voice for India at the world stage. 

Here is what I had spoken at a prayer meet in her memory. 

https://t.co/nHIXCw469P",275,1291280955638861826,2020-08-06 07:52:25,Twitter Web App,48035,6139,1
3,Saddened by the tragic hospital fire in Ahmedabad. Condolences to the bereaved families. May the injured recover soon. Spoke to CM @vijayrupanibjp Ji and Mayor @ibijalpatel Ji regarding the situation. Administration is providing all possible assistance to the affected.,269,1291206650930421760,2020-08-06 02:57:09,Twitter for iPhone,59872,6386,-1
4,"A blessed day in Ayodhya. 

This day will remain etched in the memory of every Indian.

May the blessings of Bhagwan Shree Ram always be upon us. May India scale new heights of progress. May every Indian be healthy and prosperous. @ShriRamTeerth https://t.co/4JbHYcTv0b",269,1291019545138741248,2020-08-05 14:33:40,Twitter Web App,130945,22893,1
5,Prayed at  the sacred Hanumangarhi and sought Lord Hanuman's blessings. https://t.co/Jbf4X04Mxh,95,1291016827267506179,2020-08-05 14:22:52,Twitter Web App,224573,30115,0
6,"राम समय, स्थान और परिस्थितियों के हिसाब से बोलते हैं, सोचते हैं, करते हैं। राम हमें समय के साथ बढ़ना सिखाते हैं, चलना सिखाते हैं।

राम परिवर्तन के पक्षधर हैं, राम आधुनिकता के पक्षधर हैं। उनकी इन्हीं प्रेरणाओं और आदर्शों के साथ भारत आज आगे बढ़ रहा है। https://t.co/uleGkVUhXr",274,1290998846152044545,2020-08-05 13:11:25,Twitter Media Studio,57325,11605,0
7,"दुनिया में न जाने कितने देश हैं, जहां की आस्था में या अतीत में, राम किसी न किसी रूप में रचे-बसे हैं।

मुझे विश्वास है कि आज इन देशों में भी करोड़ों लोगों को राम मंदिर के निर्माण का काम शुरू होने से बहुत सुखद अनुभूति हो रही होगी। https://t.co/toJyWD4VL0",252,1290998663120994304,2020-08-05 13:10:41,Twitter Media Studio,49230,9888,0
8,"जीवन का ऐसा कोई पहलू नहीं है, जहां हमारे राम प्रेरणा न देते हों।

भारत की ऐसी कोई भावना नहीं है, जिसमें प्रभु राम झलकते न हों।

भारत की आस्था में राम हैं, आदर्शों में राम हैं।

भारत की दिव्यता में राम हैं, दर्शन में राम हैं।

राम भारत की ‘अनेकता में एकता’ के सूत्र हैं। https://t.co/Pw52PBWDcE",293,1290998415472484352,2020-08-05 13:09:42,Twitter Media Studio,38783,8440,0
9,"राम मंदिर के निर्माण की यह प्रक्रिया राष्ट्र को जोड़ने का उपक्रम है।
 
यह महोत्सव है-

विश्वास को विद्यमान से जोड़ने का,

नर को नारायण से जोड़ने का,

लोक को आस्था से जोड़ने का,

वर्तमान को अतीत से जोड़ने का

और स्व को संस्कार से जोड़ने का। https://t.co/yS5RLpLfD1",263,1290998127281860613,2020-08-05 13:08:33,Twitter Media Studio,36924,8070,0
10,"कई-कई सदियों तक, कई-कई पीढ़ियों ने अखंड, अविरत, एकनिष्ठ प्रयास किए हैं।

आज का यह दिन उसी तप, त्याग और संकल्प का प्रतीक है। https://t.co/gINQ5qmnzD",147,1290997921383505925,2020-08-05 13:07:44,Twitter Media Studio,83125,15248,0
11,"कन्याकुमारी से क्षीर भवानी तक,

कोटेश्वर से कामाख्या तक,

जगन्नाथ से केदारनाथ तक, 

सोमनाथ से काशी विश्वनाथ तक,

सम्मेद शिखर से श्रवणबेलगोला तक,

बोधगया से सारनाथ तक,

अमृतसर से पटना साहिब तक, 

अंडमान से अजमेर तक, 

लक्षद्वीप से लेह तक,

आज पूरा भारत राममय है। https://t.co/LBm03myfDh",285,1290997801917100034,2020-08-05 13:07:16,Twitter Media Studio,90094,19961,0
12,Live from Ayodhya. https://t.co/cHp9fTFEdx,42,1290921136276910080,2020-08-05 08:02:37,Periscope,150787,31757,1
13,Shri Ebrahim Alkazi will be remembered for his efforts to make theatre more popular and accessible across India. His contributions to the world of art and culture are noteworthy too. Saddened by his demise. My thoughts are with his family and friends. May his soul rest in peace.,279,1290622992150482944,2020-08-04 12:17:54,Twitter Web App,41916,3952,1
14,"For those youngsters who did not get the desired result in the Civil Services Examination, 2019, I would like to tell them- life is full of several opportunities. Each and every one of you is hardworking and diligent. Best wishes for all your future endeavours.",261,1290612111345770496,2020-08-04 11:34:40,Twitter Web App,79442,8047,1
15,"Congratulations to all the bright youngsters who have successfully cleared the Civil Services Examination, 2019! An exciting and satisfying career of public service awaits you. My best wishes!",192,1290611522440331264,2020-08-04 11:32:20,Twitter Web App,155819,12716,1
16,"Thank you the Raksha Bandhan wishes @DeepaAthlete. 

Glad to see the rising popularity of Para Sports across India. Congratulations to all the athletes, their families and their coaches. https://t.co/VQfpfYzZ4P",210,1290337164073435137,2020-08-03 17:22:07,Twitter for iPhone,30038,2890,1
