,Tweets,Subjectivity,Polarity,Analysis
0,"Thank you, Prime Minister ! It was a pleasure to speak to you. Once again, many congratulations. We will work together to further advance all areas of bilateral cooperation and to take our special ties to ever newer heights. ",0.5238095238095238,0.28571428571428575,Positive
1,"At 11 AM on Friday, 7th August, I would be addressing the ‘Conclave on Transformational Reforms in Higher Education under National Education Policy.’  

This conclave will emphasise on how the changes in India’s education sector will benefit youngsters. ",0.5,0.25,Positive
2,"Remembering Sushma Ji on her first Punya Tithi. Her untimely and unfortunate demise left many saddened. She served India selflessly and was an articulate voice for India at the world stage. 

Here is what I had spoken at a prayer meet in her memory. 

",0.4583333333333333,0.0625,Positive
3,Saddened by the tragic hospital fire in Ahmedabad. Condolences to the bereaved families. May the injured recover soon. Spoke to CM  Ji and Mayor  Ji regarding the situation. Administration is providing all possible assistance to the affected.,0.875,-0.375,Negative
4,"A blessed day in Ayodhya. 

This day will remain etched in the memory of every Indian.

May the blessings of Bhagwan Shree Ram always be upon us. May India scale new heights of progress. May every Indian be healthy and prosperous.  ",0.4772727272727273,0.3181818181818182,Positive
5,Prayed at  the sacred Hanumangarhi and sought Lord Hanuman's blessings. ,0.0,0.0,Neutral
6,"राम समय, स्थान और परिस्थितियों के हिसाब से बोलते हैं, सोचते हैं, करते हैं। राम हमें समय के साथ बढ़ना सिखाते हैं, चलना सिखाते हैं।

राम परिवर्तन के पक्षधर हैं, राम आधुनिकता के पक्षधर हैं। उनकी इन्हीं प्रेरणाओं और आदर्शों के साथ भारत आज आगे बढ़ रहा है। ",0.0,0.0,Neutral
7,"दुनिया में न जाने कितने देश हैं, जहां की आस्था में या अतीत में, राम किसी न किसी रूप में रचे-बसे हैं।

मुझे विश्वास है कि आज इन देशों में भी करोड़ों लोगों को राम मंदिर के निर्माण का काम शुरू होने से बहुत सुखद अनुभूति हो रही होगी। ",0.0,0.0,Neutral
8,"जीवन का ऐसा कोई पहलू नहीं है, जहां हमारे राम प्रेरणा न देते हों।

भारत की ऐसी कोई भावना नहीं है, जिसमें प्रभु राम झलकते न हों।

भारत की आस्था में राम हैं, आदर्शों में राम हैं।

भारत की दिव्यता में राम हैं, दर्शन में राम हैं।

राम भारत की ‘अनेकता में एकता’ के सूत्र हैं। ",0.0,0.0,Neutral
9,"राम मंदिर के निर्माण की यह प्रक्रिया राष्ट्र को जोड़ने का उपक्रम है।
 
यह महोत्सव है-

विश्वास को विद्यमान से जोड़ने का,

नर को नारायण से जोड़ने का,

लोक को आस्था से जोड़ने का,

वर्तमान को अतीत से जोड़ने का

और स्व को संस्कार से जोड़ने का। ",0.0,0.0,Neutral
10,"कई-कई सदियों तक, कई-कई पीढ़ियों ने अखंड, अविरत, एकनिष्ठ प्रयास किए हैं।

आज का यह दिन उसी तप, त्याग और संकल्प का प्रतीक है। ",0.0,0.0,Neutral
11,"कन्याकुमारी से क्षीर भवानी तक,

कोटेश्वर से कामाख्या तक,

जगन्नाथ से केदारनाथ तक, 

सोमनाथ से काशी विश्वनाथ तक,

सम्मेद शिखर से श्रवणबेलगोला तक,

बोधगया से सारनाथ तक,

अमृतसर से पटना साहिब तक, 

अंडमान से अजमेर तक, 

लक्षद्वीप से लेह तक,

आज पूरा भारत राममय है। ",0.0,0.0,Neutral
